Borough,Neighborhood,ID,Name,Likes,Rating,Tips
Brooklyn,New Lots,4bc5ee81db8fa593846e9b37,Island Pot Restaurant,21,6.2,12
Brooklyn,Paerdegat Basin,4c1843941436a593e12e8d75,De Islands Caribbean Resturant,17,7.6,11
Brooklyn,Paerdegat Basin,5324a973498e4a9ae2e3bc77,Chloe's Restaurant and Lounge,14,6.5,3
Brooklyn,Paerdegat Basin,4cb39fba6c26952153f9b9d9,Dougie's Jamaican Cuisine,7,6.3,5
Brooklyn,Paerdegat Basin,4baebdcef964a520ebd33be3,Bamboo Garden,13,6.1,11
Brooklyn,Mill Basin,4b6b21aff964a520e0f42be3,Golden Krust Caribbean Bakery and Grill,3,7.1,3
Queens,Jamaica Hills,4c0eeb0415c2ef3bad541b08,Genesis #1,27,8.4,13
Queens,Jamaica Hills,4bce1e93cc8cd13a37c8c3cf,Jamaican Flavors,23,7.8,9
Bronx,Claremont Village,4bb794d41261d13a2583e798,Golden Krust Caribbean Restaurant,0,6.6,3
Bronx,Concourse Village,4c1010f5ce57c928f94681d2,The Feeding Tree,24,7.8,16
Bronx,Concourse Village,4c6daa9e06ed6dcbbe91a422,Concourse Jamaican Bakery,6,6.6,6
Manhattan,Stuyvesant Town,537822d3498edcf629cebd3d,Miss Lily's 7A,570,9.2,170
Queens,Blissville,4bf6cd2d13aed13ac039eaf7,Golden Krust Caribbean Bakery and Grill,1,6.9,3
Brooklyn,Weeksville,4c030121187ec928511cb57b,Ali's Roti Shop,94,8.6,25
Brooklyn,Weeksville,4ebc66f88b81967ad17a286a,Fisherman's Cove,6,7.1,6
Brooklyn,Weeksville,5562849a498ea88df7dcc1d3,Crown Heights Royal Cuisine Yard Food,8,7.0,5
Brooklyn,Weeksville,4d5ea3ed5b276dcb31cafcc5,Golden Krust Caribbean Bakery and Grill,4,6.8,1
Brooklyn,Weeksville,4bc3edc04cdfc9b61c1c9821,Golden Krust Caribbean Restaurant,4,6.0,7
Brooklyn,Broadway Junction,4e42a587aeb79367c7e9f663,Golden Krust Caribbean Restaurant,4,6.3,1
Bronx,Allerton,4c07e7f97e3fc9280676ef82,Feroza's Roti Shop,39,7.6,24
Bronx,Allerton,4ba52f5df964a52009e938e3,Golden Krust Caribbean Restaurant,5,7.1,2
Bronx,Allerton,4f627f50e4b04d4b13d32f90,Richie Rich,3,5.9,3
Brooklyn,Erasmus,4b53503bf964a520d29627e3,Exquisite Delight,51,8.7,16
Brooklyn,Erasmus,4ecd5bf6d3e3521ce230c631,Tastee Pattee,10,8.0,4
Brooklyn,Erasmus,4e21d5c6e4cdf68591898a5e,Caribbean Vibes,13,7.7,5
Brooklyn,Erasmus,4be36a22d27a20a12c41925b,Bake & Things Restaurant,49,7.7,26
Brooklyn,Erasmus,57597fd8498e2922f0ff1b22,Island Express,26,8.5,5
Brooklyn,Erasmus,4a611b29f964a520dec11fe3,Nio's Trinidad Roti Shop,31,7.5,13
Brooklyn,Erasmus,5879815625911e1bb23364a0,Sip unWINE,9,7.5,4
Brooklyn,Erasmus,4c0c025ca1b32d7fa0e49bf0,Kal's Bakery & Restaurant,11,6.6,5
Brooklyn,Erasmus,4bf6df9d4a67c928b49422cf,Golden Krust Caribbean Bakery & Grill,7,6.5,2
Queens,Hammels,4d31ea9cb6093704551ef1df,Goody's,29,8.8,14
Queens,Queensbridge,4f5660c3e4b0ac8e5470d4b2,Melting Pot Cuisine,15,7.9,9
